group,group_label,node_index,x1,x2,x3,weight
1,center,1,0.000000000000000000,0.000000000000000000,0.000000000000000000,-1.623073849898153095
2,axis_l1,1,-0.955907315804539012,0.000000000000000000,0.000000000000000000,-0.643019022963093756
2,axis_l1,2,0.955907315804539012,0.000000000000000000,0.000000000000000000,-0.643019022963093756
2,axis_l1,3,0.000000000000000000,-0.955907315804539012,0.000000000000000000,-0.643019022963093756
2,axis_l1,4,0.000000000000000000,0.955907315804539012,0.000000000000000000,-0.643019022963093756
2,axis_l1,5,0.000000000000000000,0.000000000000000000,-0.955907315804539012,-0.643019022963093756
2,axis_l1,6,0.000000000000000000,0.000000000000000000,0.955907315804539012,-0.643019022963093756
3,axis_l2,1,-0.406057174738239736,0.000000000000000000,0.000000000000000000,0.631199738883635294
3,axis_l2,2,0.406057174738239736,0.000000000000000000,0.000000000000000000,0.631199738883635294
3,axis_l2,3,0.000000000000000000,-0.406057174738239736,0.000000000000000000,0.631199738883635294
3,axis_l2,4,0.000000000000000000,0.406057174738239736,0.000000000000000000,0.631199738883635294
3,axis_l2,5,0.000000000000000000,0.000000000000000000,-0.406057174738239736,0.631199738883635294
3,axis_l2,6,0.000000000000000000,0.000000000000000000,0.406057174738239736,0.631199738883635294
4,axis_l3,1,-0.895254709252356258,0.000000000000000000,0.000000000000000000,0.461547075927787869
4,axis_l3,2,0.895254709252356258,0.000000000000000000,0.000000000000000000,0.461547075927787869
4,axis_l3,3,0.000000000000000000,-0.895254709252356258,0.000000000000000000,0.461547075927787869
4,axis_l3,4,0.000000000000000000,0.895254709252356258,0.000000000000000000,0.461547075927787869
4,axis_l3,5,0.000000000000000000,0.000000000000000000,-0.895254709252356258,0.461547075927787869
4,axis_l3,6,0.000000000000000000,0.000000000000000000,0.895254709252356258,0.461547075927787869
5,axis_lp_null,1,-0.250000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,2,0.250000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,3,0.000000000000000000,-0.250000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,4,0.000000000000000000,0.250000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,5,0.000000000000000000,0.000000000000000000,-0.250000000000000000,0.000000000000000000
5,axis_lp_null,6,0.000000000000000000,0.000000000000000000,0.250000000000000000,0.000000000000000000
6,pair_l1_l1,1,-0.955907315804539012,-0.955907315804539012,0.000000000000000000,0.039257183372578002
6,pair_l1_l1,2,-0.955907315804539012,0.955907315804539012,0.000000000000000000,0.039257183372578002
6,pair_l1_l1,3,0.955907315804539012,-0.955907315804539012,0.000000000000000000,0.039257183372578002
6,pair_l1_l1,4,0.955907315804539012,0.955907315804539012,0.000000000000000000,0.039257183372578002
6,pair_l1_l1,5,-0.955907315804539012,0.000000000000000000,-0.955907315804539012,0.039257183372578002
6,pair_l1_l1,6,-0.955907315804539012,0.000000000000000000,0.955907315804539012,0.039257183372578002
6,pair_l1_l1,7,0.955907315804539012,0.000000000000000000,-0.955907315804539012,0.039257183372578002
6,pair_l1_l1,8,0.955907315804539012,0.000000000000000000,0.955907315804539012,0.039257183372578002
6,pair_l1_l1,9,0.000000000000000000,-0.955907315804539012,-0.955907315804539012,0.039257183372578002
6,pair_l1_l1,10,0.000000000000000000,-0.955907315804539012,0.955907315804539012,0.039257183372578002
6,pair_l1_l1,11,0.000000000000000000,0.955907315804539012,-0.955907315804539012,0.039257183372578002
6,pair_l1_l1,12,0.000000000000000000,0.955907315804539012,0.955907315804539012,0.039257183372578002
7,pair_l1_l2,1,-0.955907315804539012,-0.406057174738239736,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,2,-0.955907315804539012,0.406057174738239736,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,3,0.955907315804539012,-0.406057174738239736,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,4,0.955907315804539012,0.406057174738239736,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,5,-0.955907315804539012,0.000000000000000000,-0.406057174738239736,0.180345157177431363
7,pair_l1_l2,6,-0.955907315804539012,0.000000000000000000,0.406057174738239736,0.180345157177431363
7,pair_l1_l2,7,0.955907315804539012,0.000000000000000000,-0.406057174738239736,0.180345157177431363
7,pair_l1_l2,8,0.955907315804539012,0.000000000000000000,0.406057174738239736,0.180345157177431363
7,pair_l1_l2,9,-0.406057174738239736,-0.955907315804539012,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,10,0.406057174738239736,-0.955907315804539012,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,11,-0.406057174738239736,0.955907315804539012,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,12,0.406057174738239736,0.955907315804539012,0.000000000000000000,0.180345157177431363
7,pair_l1_l2,13,0.000000000000000000,-0.955907315804539012,-0.406057174738239736,0.180345157177431363
7,pair_l1_l2,14,0.000000000000000000,-0.955907315804539012,0.406057174738239736,0.180345157177431363
7,pair_l1_l2,15,0.000000000000000000,0.955907315804539012,-0.406057174738239736,0.180345157177431363
7,pair_l1_l2,16,0.000000000000000000,0.955907315804539012,0.406057174738239736,0.180345157177431363
7,pair_l1_l2,17,-0.406057174738239736,0.000000000000000000,-0.955907315804539012,0.180345157177431363
7,pair_l1_l2,18,0.406057174738239736,0.000000000000000000,-0.955907315804539012,0.180345157177431363
7,pair_l1_l2,19,-0.406057174738239736,0.000000000000000000,0.955907315804539012,0.180345157177431363
7,pair_l1_l2,20,0.406057174738239736,0.000000000000000000,0.955907315804539012,0.180345157177431363
7,pair_l1_l2,21,0.000000000000000000,-0.406057174738239736,-0.955907315804539012,0.180345157177431363
7,pair_l1_l2,22,0.000000000000000000,0.406057174738239736,-0.955907315804539012,0.180345157177431363
7,pair_l1_l2,23,0.000000000000000000,-0.406057174738239736,0.955907315804539012,0.180345157177431363
7,pair_l1_l2,24,0.000000000000000000,0.406057174738239736,0.955907315804539012,0.180345157177431363
8,triple_l1_l1_l1,1,-0.955907315804539012,-0.955907315804539012,-0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,2,-0.955907315804539012,-0.955907315804539012,0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,3,-0.955907315804539012,0.955907315804539012,-0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,4,-0.955907315804539012,0.955907315804539012,0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,5,0.955907315804539012,-0.955907315804539012,-0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,6,0.955907315804539012,-0.955907315804539012,0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,7,0.955907315804539012,0.955907315804539012,-0.955907315804539012,0.014167025806713071
8,triple_l1_l1_l1,8,0.955907315804539012,0.955907315804539012,0.955907315804539012,0.014167025806713071
9,full_diag_l0,1,-0.686075797561756291,-0.686075797561756291,-0.686075797561756291,0.251500114953147920
9,full_diag_l0,2,-0.686075797561756291,-0.686075797561756291,0.686075797561756291,0.251500114953147920
9,full_diag_l0,3,-0.686075797561756291,0.686075797561756291,-0.686075797561756291,0.251500114953147920
9,full_diag_l0,4,-0.686075797561756291,0.686075797561756291,0.686075797561756291,0.251500114953147920
9,full_diag_l0,5,0.686075797561756291,-0.686075797561756291,-0.686075797561756291,0.251500114953147920
9,full_diag_l0,6,0.686075797561756291,-0.686075797561756291,0.686075797561756291,0.251500114953147920
9,full_diag_l0,7,0.686075797561756291,0.686075797561756291,-0.686075797561756291,0.251500114953147920
9,full_diag_l0,8,0.686075797561756291,0.686075797561756291,0.686075797561756291,0.251500114953147920
